text,anger
"The push to normalize pedophilia is global. ""These people are SICK"" @LizCrokin 
#CRODEN #CanadaDay #Croatia #Denmark 
",1
Trump lies and lies until another US ambassador bites the dust.  Conduct unbecoming of a president.,1
"When people say they want to abolish ICE, this is another sign the left has become even more extreme. They don't want law and order, they want chaos by opening up the borders. The want to make the US like European Union states.",1
JUST PRETEND IT'S THE EUROPEAN UNION AND IT WON'T SEEM SO BIG.,1
"The Trump War On The #Globalism That Powers American Prosperity: His outright hostility towards NATO, the European Union, the United Nations, the World Trade Organization, and the Group of Seven (G7) is because he hates America!

",1
"TRUMP your treason is showing..  
A little history lesson, the EU and NATO is all that stands in the way from Russia invading any place they want.  The attempt to withdraw the USA from NATO and make... ",1
"1) Bolton was fantastic with this WHORE today. He didn't give her a damn inch and defended our President wonderfully. If the European Union ?? is so damned worried about Russia ??, why is Germany ?? only spending a little over 1% of their GDP for NATO's defense. ",1
"This MENTALLY DISTURBED IDIOT claims that HE WAS IN THE EUROPEAN UNION -- BEFORE HE WAS BORN!

Trump tells Maria Bartiromo: ""You know, I WAS THERE many, many years ago  -  meaning my parents were born in the European Union..."" ",1
That taco cart across from my apartment LIES! They have direct ties to European Union. It is ridiculous that people still believe NASA went to the moon!,1
"Christ, someone staple his mouth shut please!!!! #dotard 
Trump: European Union is 'possibly as bad' as China on trade ",1
It's time for the UK to tell the European Union to Fuck Off! #HardBrexit The EU are like leeches they want the UK to subsidize their corrupt bureaucracy full of Soros loving pedophiles! @luke4tech,1
Wat makes you think..she did it intentionally..?? cud b a error of judgement.wyy wud she clearify to the same ppl ho abused her..called her a Conspirator against d Prime Minister..wyy I'll she clearify to dese first class jerks..wat nonsense...,1
I wanna become in charge of every problematic system that exists and fix it so everyone is equally benefited from it. Like y'all bitches couldn't stop me if I wasn't depressed and was the prime minister/president,1
What a lying mongrel/arsehole our Prime Minister is....,1
"How can a military give commands to the civilians it is employed to serve? How can anyone, other than legislature, whether President, Prime Minister or COAS of any country dare to summon our judges? ",1
What  lying arsehole our Prime Minister is...,1
And the silence of responsible person including the Prime Minister is deplorable!  / 3,1
The Turkish prime minister refuses to eat my homemade soup that your great great grandfathers cousins Pilates coach smuggled out of the old country all because you're always on that damn phone!,1
"Shorten will make an excellent Prime Minister and then we can expect some sanity back in Parliament. LNP have more than blotted their copy book,...they have individually pee'd all over it! GO GO GO @billshortenmp   #BFCSA ",1
"One can clearly understand what he means when he says "" He appreciates Frank expression in social media ""
We have had Accidental Prime minister etc 
But THIS ONE IS THE MOST UNDESERVING PRIME MINISTER EVER !! ",1
Justice for chained dog mutilated with an axe in Greece! Plz sign:,1
If how he refers to Prime Minister Trudeau is any indication - can't wait to see how Donald responds.  Jong-Un is shamelessly making a fool of @potus on the world stage with the biggest f$@% you ever.,1
"First Lady is not a title for the wife of Canada's Prime Minister, it's a title for the US President's wife only (FLOTUS, get it????). Get it together, Canada! Seriously.... Not a thing by any means so stop trying to make fetch happen! ",1
My god what a silly stupid little man. Now Harper is going to go to the US and help us Canadians out of a jam that turd prime minister got us into,1
Just look how the prime minister trudeau has no intelligence from growing up with it,1
GLOBAL WARMING IS THE BIGGEST FRAUD IN HISTORY ? Dan Pena ? #BreakingNews,1
GLOBAL WARMING MY ASS,1
So much for global warming !,1
"""GLOBAL WARMING! YEAH!"" ? ",1
Lol just imagine how hot it's gonna be in 2030 global warming gonna be a bitch,1
Leaked U.N. report urges nations to reduce meat consumption to combat 'urgent' global warming,1
"Shows ""Global Warming"" was just another HOAX.... ",1
30 years later and Global Warming is still a bullshit scam....,1
"lol this is an alarming alert to receive w/ little to no context provided. like, I really love how they're like ""bitch click the link to learn ur??self?? *Tom Haverford voice* IM NOT UR MAID""

anyway, global warming is real and we're all gonna die!!! ? ",1
"so, in the last few days it has snowed in june and hit a high of 42 degrees.... global warming rly is THAT bitch",1
GLOBAL WARMING IS THE BIGGEST FRAUD IN HISTORY ? Dan Pena ? #BreakingNews,1
97% COBSENSUS THAT SCIENTISTS AGREE THAT GLOBAL WARMING IS BEING CREATED CARBON EMISSIONS IS ABSOLUTELY FALSE!!!,1
GLOBAL WARMING IS THE BIGGEST FRAUD IN HISTORY ? Dan Pena ? #BreakingNews,1
it should Not!!!! be 82 degrees out after 10:00 pm what the fuck global warming is so real,1
"On a global warming hot day at plastic beach Barbie and ken were fucking, fighting. Too bad oh so sad climate change will melt them to goo. No more fighting 4 u too:(
Plastic beach so I use my foot (11 inches) press down and mark my footprint on Barbie beach, like it's wet cement",1
"global warming can't be real it's COLD outside

BAM DEBUNKED AND GTFO",1
"Don't worry folks, there's no such thing as global warming. It's fake news. ????? ",1
"Oh, no, it all has to be related to man-made global warming.  Give me a fricken break.  Antarctica's big secret: Active volcanic heat found under Pine Island Glacier ",1
I hate global warming.,1
"Nope let's keep electing old white racist men. Women and gay people don't deserve rights and global warming is a liberal scare tactic.
*Sarcasm*
They do realize eventually millennials are going to be 100% of Congress right? It's how time and death work... ",1
"Global warming will cause more refugees.
Refugees will cause more democracies to shift right. 
Humans are fucked.",1
"@TheCarlC8 
 Geo Engineering is the fact that THEY can and do control the weather. So now we have weather Wars. Thus, Global Warming is the biggest HOAX perpetrated on mankind. And it is patented.

 '",1
congratulations to whosoever wrote this... how true... a reminder of the mess the tories have made of the UK... seems May will NOT be happy until she and her Brexit chums totally destroy what is left of the UK... it won.t take long.,1
"With America,Australia,New Zealand actually forming a queue to trade with the UK post Brexit 'Stick in the Mud'Business Minister Greg Clark grovels for yet another year of EU subjection which will mean another £10+Billion dues and 300,000 immigrants!",1
new super duper brexit plant to be revealed maybe before the lack lustre super brexit plan which has still to be revealed. fuck this i want daz or persil,1
But never mind - post-Brexit UK will be a bed of roses once we've kicked our closest friends & main trading partners in the teeth.,1
Can we brexit from London too? that place is a mess,1
#Brexit is shittihs.,1
.@AstonAinsley .@2tweetaboutit .@Thessalonian416 .@mc55064Q at every turn along this brexit journey the EU lovers in government have tried to derail brexit let's not let that happen,1
"Preparing for doomsday, as if aliens have descended on Earth. But the aliens are all sitting in their own party, and the only thing they need to do, rather than gathering nuclear missiles, is to gather enough political courage to call a stop to the brexit nonsense. ",1
"Correct me if I'm wrong, but didn't Scotland vote to be British slaves for the next 700 years in part because Britain terrorized them that an independent Scotland wouldn't be in the EU?  Because after BREXIT there is ZERO chance England will ever let them go.",1
Brexit White Paper has been described to me by Whitehall insider as 'the most ludicrous government publication since the Green Paper proposing the poll tax in 1987. No one who has written it believes it',1
